0.250000	0.000000	0.146694	0.008885	0.875553	0.003342	0.105466	0.009365

0.400000	0.000000	0.322836	0.012789	0.926129	0.001625	0.324931	0.013591

0.550000	0.000000	0.740323	0.015776	0.953417	0.001797	0.133662	0.008323

0.700000	0.000000	0.595458	0.018141	0.954433	0.001679	0.224574	0.013127

0.850000	0.000000	0.368148	0.007429	0.945634	0.000541	0.195510	0.008605

1.000000	0.000000	0.336095	0.002925	0.951497	0.000518	0.290387	0.017534

1.150000	0.000000	0.600272	0.001539	0.958499	0.000350	0.192655	0.015015

1.300000	0.000000	0.455908	0.002824	0.950422	0.000347	0.244268	0.018668

