0.020000	5	0.210848
0.020000	10	0.254130
0.020000	15	0.207781
0.020000	20	0.217790
0.020000	25	0.174616
0.020000	30	0.141885

0.050000	5	0.171351
0.050000	10	0.216820
0.050000	15	0.222636
0.050000	20	0.263209
0.050000	25	0.555698
0.050000	30	0.831340

0.100000	5	0.243738
0.100000	10	0.308007
0.100000	15	0.379093
0.100000	20	0.493306
0.100000	25	0.655645
0.100000	30	0.889953

0.200000	5	0.233233
0.200000	10	0.345069
0.200000	15	0.437785
0.200000	20	0.596427
0.200000	25	0.746090
0.200000	30	0.836091

0.300000	5	0.195990
0.300000	10	0.345458
0.300000	15	0.517193
0.300000	20	0.615716
0.300000	25	0.797674
0.300000	30	0.932256

0.400000	5	0.134205
0.400000	10	0.218587
0.400000	15	0.430896
0.400000	20	0.648498
0.400000	25	0.843754
0.400000	30	0.989296







